feature,PC1,PC2,PC3,PC4,PC5,PC6,PC7
log_tc_seat,0.48,-0.0241,-0.0931,0.0523,0.092,0.038,0.063
ratio_salary,-0.4531,-0.2244,0.0083,0.0553,-0.2136,-0.1401,-0.1868
ratio_sti,0.0435,0.5659,0.0658,0.5556,0.246,0.0413,0.11
ratio_lti,0.0046,-0.3035,-0.4307,-0.3828,0.5316,0.0956,0.0376
ratio_equity,0.3983,-0.0484,0.3209,-0.2856,-0.3664,-0.1846,-0.089
ratio_other,-0.077,-0.1341,-0.1068,0.0599,-0.4501,0.7161,0.4594
ratio_pension,-0.0617,-0.3094,-0.135,0.2647,-0.1224,-0.6042,0.6213
vpi,0.308,0.238,-0.013,-0.3134,0.1153,-0.04,0.4797
ratio_stock,0.3173,-0.3502,0.4906,0.1187,0.0412,0.049,-0.0458
ratio_option,0.0473,0.4292,-0.371,-0.2899,-0.4528,-0.2114,-0.1092
firm_size,0.2686,-0.1482,-0.4245,0.3449,-0.0953,-0.0446,-0.2063
index_score,0.3522,-0.1878,-0.3318,0.2614,-0.1476,0.0743,-0.2365
