feature,coefficient,std_error,t_stat,exp_effect_pct
intercept,3.03440282339527,0.28544330561306974,10.630492163331828,1978.8559750401714
log_comp_lag1,0.6030779431872316,0.03446691136599601,17.497301594079293,82.77358185353525
year_trend,0.01597720715696758,0.002859748647203936,5.5869270792693575,1.6105525208411908
log_board_size,0.42749494039912184,0.05747113246018158,7.438429035573787,53.34114211989971
sector_Auto,0.07598618038041058,0.056466507822400945,1.3456858465447006,7.894766340798842
sector_Banking,-0.05486282319230159,0.07122116879883525,-0.7703162432964568,-5.33850073297476
sector_Chemicals,0.036195358264293244,0.060077065572329225,0.6024821272389908,3.6858385560960105
sector_Consumer,-0.02183170002782362,0.06814999684011787,-0.320347777550768,-2.159511328940278
sector_Energy,0.015612894815977125,0.06478735266011372,0.24098676940675784,1.5735412848173702
sector_Industrials,0.01080151445755767,0.06587067871854684,0.16398061577155648,1.0860061423597633
sector_Insurance,-0.0025338119796694406,0.06990602483490077,-0.03624597430126549,-0.2530604587643315
sector_Logistics,-0.017247894521984025,0.06713431139304574,-0.25691623499352206,-1.7100001093408035
sector_Media,0.023658590563070393,0.18855688754444347,0.12547189801005804,2.3940675198991457
sector_Pharma,0.07541806606947153,0.05405520086373224,1.3952046216532048,7.833487188395116
sector_Real Estate,-0.15908208797106965,0.10822323788731154,-1.4699438963073288,-14.70736588974545
sector_Tech,0.1612922691123007,0.08760775884135091,1.8410728826471323,17.50283431233479
sector_Telecom,-0.03564432937587043,0.08560782311241058,-0.4163676645423666,-3.5016551280132147
